"Vremenska oznaka","1. Gender:","2. Age:","3. Country:","4. Place of living:","5. Profession:","6. Level of education:","7. Monthly income:","8. Ethnic origin:","9. Marital Status:","10. Children:","11. How much time you spend online per day?","12. How often do you buy online?","13. How often do you buy using your mobile phone?","14. How much do you use mobile phone and it's apps?","15. How socially active are you?","16. How much do you use social networks?","17. How sporty are you?","18. How much do you care about environment protection and animals?","19. How trendy are you?","20. How much do you care about your skin?","21. Do you use skincare products?","22. How much informed are you before buying skincare products?","23. How much do you care about expert's recommendations on skincare products?","24. How much do you care about friend's recommendations on skincare products?","25. How much influence on your skincare brand choice has a celebrity recommendation?","26. Where do you buy skincare products?","27. How much (at average) you spend on skincare products per month?","28. What brand of skincare products do you use?","29. How much do you care about natural ingredients in skincare products?","30. How much do you care about the price of a skincare product?","31. How much do you care about the quality of a skincare product?","32. Do you prefer premium or mass products? ","33. How much do you care about the social image of the skincare brand you are buying products from?","34. How much do you care about a store (online or offline) service of the skincare brands?","35. How important for you are free samples before buying?","36. How important for you are a good return policies of skincare brand?","37. How important for you are a skincare brand's environmental and animal testing policies?","38. Do you know brand Kiehl's?","39. Do you use Kiehl's products?","40. What's your level of satisfaction with Kiehl's products?","41. What's your level of satisfaction with Kiehl's service?","42. Would you recommend Kiehl's to your friends and acquaintances?","43. What is your favorite Kiehl's product?","44. What do you associate Kiehl's with?","45. If you buy online skincare products, what service do you use to buy them?","46. Why you use this service?","47. What are your favorite things about this service?","48. How satisfied are you with the online service you are using?","49. How often do you visit online store for skincare products?","50. How many skincare products do you buy online per month?","51. How long you shop before making a purchase of skincare products online?","52. How many items do you buy per online purchase of skincare products?","53. Where on showrooming-webrooming level do you see yourself?","54. Would you use Kiehl's online service?"
"2019/03/14 8:23:17 PM CET","Female","<20","USA","Small town","Student","High school graduate","$800-$1000","White","Single, never married","0","7","6","3","8","4","8","3","7","6","10","Yes","10","10","3","1","4","$10-$19","CeraVe, Neutrogena, Makeup’s artists choice, Paula’s Choice, thayers","1","7","10","5","3","4","2","3","6","5","No","","","","","","Amazon and the brand’s websites ","Amazon is quick","Super fast shipping","10","5","3","7","7","1","7"
"2019/03/14 10:34:44 PM CET","Male","20-29","Italy","Small town","Currently unemployed","Master's degree or eqvivalent","<$500","White","Single, never married","0","6","1","1","2","2","2","2","5","1","1","No","1","1","1","1","1","<$10","The cheapest I can find.","2","10","2","2","1","1","1","1","8","1","No","","","","","","","","","","","","","","","1"
"2019/03/15 12:13:07 AM CET","Female","<20","USA","Small town","Recently unemployed","Bachelor's degree or eqvivalent","$500-$799","Asian / Pacific","Single, never married","0","10","7","3","9","8","7","1","2","6","8","Yes","8","8","9","4","3","$10-$19","Neutrogena, Aveeno, No.7, Thayer's, Laneige, etc.","3","8","10","5","2","3","6","7","1","7","No","","","","","","","","","","","","","","","6"
"2019/03/15 12:19:27 AM CET","Female","20-29","USA","Small town","Medical student ","Master's degree or eqvivalent","$500-$799","Hispanic or Latino","Single, never married","0","7","9","9","9","3","2","2","7","4","7","Yes","3","3","5","1","4","<$10","Olay","4","8","6","4","1","2","3","3","2","1","No","","","","","","","","","","","","","","","1"
"2019/03/15 1:02:57 AM CET","Female","30-39","United States","Small town","EMT","High school graduate","$1000-$1499","White","Single, never married","0","7","7","8","8","6","7","8","7","4","6","No","4","8","6","5","4","<$10","","7","7","7","6","6","5","5","7","10","1","No","","","","","","","","","","","","","","","7"
"2019/03/15 1:28:55 AM CET","Female","30-39","US","Big city","Health Information","High school graduate",">$3000","Black or African","Single, never married","2","6","8","10","10","4","5","1","8","2","10","Yes","8","10","","1","1","$10-$19","CeraVe","6","1","10","5","8","8","1","10","8","1","No","","","","","","","","","","","","","","","5"
"2019/03/15 4:06:12 AM CET","Female","30-39","United States","Big city","Emergency mecical Technician","High school graduate","$1500-$3000","White","Single, never married","0","6","4","9","10","10","10","10","9","5","8","Yes","6","5","2","2","5","$20-$49","Aveeno ","8","4","8","5","5","6","2","8","6","1","No","","","","","","Amazon","Easy","Easy","10","6","2","2","3","3","4"
"2019/03/15 6:27:38 AM CET","Male","20-29","US","Small town","unemployed","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","7","7","5","7","1","5","5","8","6","7","Yes","6","1","3","1","10","$20-$49","Stirling Soap Co. Gold Bond. ","1","7","9","4","6","6","7","5","4","1","No","","","","","","Online retailers. Brand website. ","Convenience ","accessibility ","8","7","3","4","6","6","1"
"2019/03/15 7:51:28 AM CET","Male","50-59","Germany ","Rural area","employee","Master's degree or eqvivalent",">$3000","White","Married or domestic partnership","2","4","3","1","3","1","1","1","1","1","2","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","1"
"2019/03/15 9:10:14 AM CET","Female","20-29","uk","Big city","student","High school graduate","$500-$799","White","Single, never married","0","8","9","9","10","10","10","10","10","9","10","Yes","9","9","10","7","9","$50-$99","glossier","9","8","9","7","5","5","7","8","9","10","Yes","10","10","10","lip balm","Natural products;Premium products;Quality","","","","","","","","","","10"
